id,condition,trial,gamblep,gamblex,value,gambleid,gambletype,samplesize,confidence,samplesizecat
s19,description,13,0.143,28,7,3,$-bet,,4,--
s19,description,14,0.143,28,10,3,$-bet,,4,--
s19,description,15,0.2,16,5,1,$-bet,,4,--
s19,description,16,0.167,12,5.9,2,$-bet,,4,--
s19,description,17,0.8,4,1.9,4,p-bet,,4,--
s19,description,18,0.8,4,1.8,4,p-bet,,4,--
s20,experience,1,0.1428571,28,12,3,$-bet,21,4,m
s20,experience,3,0.16666667,12,9,2,$-bet,6,5,xs
s20,experience,5,0.8,4,2,4,p-bet,15,5,m
s20,experience,9,0.1428571,28,5,3,$-bet,14,5,s
s20,experience,10,0.8333333,2.4,1,5,p-bet,6,5,xs
s20,experience,11,0.16666667,12,3,2,$-bet,6,5,xs
s20,experience,13,0.16666667,12,2,2,$-bet,36,5,l
s20,experience,15,0.16666667,12,3,2,$-bet,12,5,s
s20,experience,17,0.16666667,12,3.5,2,$-bet,18,5,m
s20,experience,18,0.8333333,2.4,2,5,p-bet,18,5,m
s20,experience,19,0.8571429,4.7,4,6,p-bet,42,5,l
s20,experience,20,0.8571429,4.7,4,6,p-bet,21,5,m
s20,experience,22,0.16666667,12,2,2,$-bet,18,5,m
s20,experience,23,0.8571429,4.7,3.5,6,p-bet,14,5,s
s20,experience,25,0.2,16,3.5,1,$-bet,30,5,l
s20,experience,26,0.8,4,2.5,4,p-bet,30,5,l
s20,experience,27,0.8333333,2.4,0.9,5,p-bet,18,5,m
s20,experience,28,0.8,4,2.5,4,p-bet,10,5,s
s20,experience,29,0.1428571,28,2,3,$-bet,7,5,xs
s20,experience,30,0.1428571,28,2,3,$-bet,42,5,l
s20,experience,31,0.16666667,12,3.5,2,$-bet,12,5,s
s20,experience,32,0.8571429,4.7,3,6,p-bet,21,5,m
s20,experience,33,0.2,16,3,1,$-bet,10,5,s
s20,experience,34,0.2,16,6,1,$-bet,30,5,l
s20,experience,35,0.1428571,28,12,3,$-bet,21,5,m
s20,experience,36,0.2,16,9,1,$-bet,15,5,m
s20,experience,37,0.8333333,2.4,0.2,5,p-bet,12,5,s
s20,experience,38,0.1428571,28,15,3,$-bet,14,5,s
s20,experience,39,0.2,16,7,1,$-bet,5,5,xs
s20,experience,40,0.8,4,3.5,4,p-bet,30,5,l
s20,experience,41,0.8,4,3.5,4,p-bet,5,5,xs
s20,experience,42,0.8333333,2.4,2,5,p-bet,6,5,xs
s20,experience,43,0.8,4,3,4,p-bet,30,5,l
s20,experience,44,0.8,4,3.4,4,p-bet,10,5,s
s20,experience,47,0.16666667,12,4.5,2,$-bet,36,5,l
s20,experience,49,0.8571429,4.7,4.5,6,p-bet,7,5,xs
s20,experience,50,0.8,4,3.4,4,p-bet,15,5,m
s20,experience,52,0.1428571,28,14.5,3,$-bet,7,5,xs
s20,experience,53,0.16666667,12,5,2,$-bet,36,5,l
s20,experience,55,0.8333333,2.4,2,5,p-bet,12,5,s
s20,experience,56,0.2,16,5.5,1,$-bet,10,5,s
s20,experience,58,0.1428571,28,6.5,3,$-bet,14,5,s
s20,experience,59,0.1428571,28,7.5,3,$-bet,21,5,m
s20,experience,60,0.8571429,4.7,4,6,p-bet,7,5,xs
s20,experience,61,0.8571429,4.7,4,6,p-bet,14,5,s
s20,experience,62,0.16666667,12,4.5,2,$-bet,12,5,s
s20,experience,63,0.8571429,4.7,3.5,6,p-bet,42,5,l
s20,experience,64,0.8333333,2.4,2,5,p-bet,36,5,l
s20,experience,65,0.8333333,2.4,2,5,p-bet,36,5,l
s20,experience,66,0.2,16,5,1,$-bet,30,5,l
s20,experience,67,0.2,16,4.5,1,$-bet,10,5,s
s20,experience,68,0.8571429,4.7,4,6,p-bet,7,5,xs
s20,experience,69,0.8571429,4.7,4,6,p-bet,14,5,s
s20,experience,70,0.8333333,2.4,2,5,p-bet,6,5,xs
s20,experience,71,0.16666667,12,3.5,2,$-bet,18,5,m
s20,experience,72,0.8,4,3,4,p-bet,5,5,xs
s20,experience,73,0.8,4,3,4,p-bet,15,5,m
s20,experience,74,0.2,16,4.5,1,$-bet,15,5,m
s20,experience,75,0.8571429,4.7,4.5,6,p-bet,42,5,l
s20,experience,76,0.2,16,4.5,1,$-bet,5,5,xs
s20,experience,77,0.2,16,4.5,1,$-bet,5,5,xs
s20,experience,78,0.1428571,28,5.6,3,$-bet,42,5,l
s20,experience,79,0.8333333,2.4,2.3,5,p-bet,12,5,s
s20,experience,80,0.8333333,2.4,2,5,p-bet,18,5,m
s20,experience,82,0.8,4,3,4,p-bet,10,5,s
s20,experience,83,0.16666667,12,4.5,2,$-bet,6,5,xs
s20,experience,84,0.8,4,3.5,4,p-bet,5,5,xs
s20,experience,85,0.2,16,4.5,1,$-bet,15,5,m
s20,experience,86,0.1428571,28,10,3,$-bet,7,5,xs
