id,condition,trial,gambleid,gambletype,gamblep,gamblex,samplesizecat,samplesize,value,confidence
s75,description,9,1,$-bet,0.2,16,--,,2,4
s75,description,10,3,$-bet,0.143,28,--,,3.5,4
s75,description,11,3,$-bet,0.143,28,--,,3,4
s75,description,12,1,$-bet,0.2,16,--,,3,4
s75,description,13,4,p-bet,0.8,4,--,,3,4
s75,description,14,5,p-bet,0.833,2.4,--,,2,4
s75,description,15,3,$-bet,0.143,28,--,,3,4
s75,description,16,5,p-bet,0.833,2.4,--,,2,4
s75,description,17,5,p-bet,0.833,2.4,--,,2,4
s75,description,18,6,p-bet,0.857,4.7,--,,4.2,4
s76,experience,1,5,p-bet,0.8333333,2.4,l,36,1.9,5
s76,experience,2,1,$-bet,0.2,16,l,30,8,5
s76,experience,4,5,p-bet,0.8333333,2.4,s,12,1.1,5
s76,experience,5,4,p-bet,0.8,4,xs,5,2.1,5
s76,experience,8,2,$-bet,0.16666667,12,m,18,6.1,5
s76,experience,9,6,p-bet,0.8571429,4.7,l,42,2.4,5
s76,experience,10,5,p-bet,0.8333333,2.4,m,18,1.3,5
s76,experience,11,3,$-bet,0.1428571,28,l,42,16.5,4
s76,experience,12,3,$-bet,0.1428571,28,l,42,16.5,5
s76,experience,16,6,p-bet,0.8571429,4.7,s,14,2.4,5
s76,experience,17,2,$-bet,0.16666667,12,l,36,6.5,5
s76,experience,18,2,$-bet,0.16666667,12,m,18,6.5,5
s76,experience,19,6,p-bet,0.8571429,4.7,m,21,2.4,5
s76,experience,20,3,$-bet,0.1428571,28,l,42,16.5,5
s76,experience,22,4,p-bet,0.8,4,s,10,2.1,5
s76,experience,23,6,p-bet,0.8571429,4.7,l,42,2.4,5
s76,experience,24,4,p-bet,0.8,4,s,10,2.1,5
s76,experience,25,6,p-bet,0.8571429,4.7,xs,7,2.4,5
s76,experience,26,2,$-bet,0.16666667,12,s,12,6.1,5
s76,experience,27,6,p-bet,0.8571429,4.7,s,14,2.4,5
s76,experience,29,3,$-bet,0.1428571,28,s,14,16.5,5
s76,experience,31,6,p-bet,0.8571429,4.7,m,21,2.4,5
s76,experience,32,1,$-bet,0.2,16,m,15,8.1,5
s76,experience,33,5,p-bet,0.8333333,2.4,l,36,1.3,5
s76,experience,34,3,$-bet,0.1428571,28,s,14,16.5,5
s76,experience,35,2,$-bet,0.16666667,12,l,36,10,4
s76,experience,36,3,$-bet,0.1428571,28,s,14,17,5
s76,experience,38,3,$-bet,0.1428571,28,xs,7,16.5,4
s76,experience,39,6,p-bet,0.8571429,4.7,s,14,4,5
s76,experience,40,3,$-bet,0.1428571,28,xs,7,27,5
s76,experience,41,3,$-bet,0.1428571,28,xs,7,12,5
s76,experience,42,4,p-bet,0.8,4,s,10,3,5
s76,experience,43,1,$-bet,0.2,16,m,15,9,5
s76,experience,44,5,p-bet,0.8333333,2.4,s,12,2,5
s76,experience,46,5,p-bet,0.8333333,2.4,s,12,2.3,4
s76,experience,47,2,$-bet,0.16666667,12,l,36,4.5,5
s76,experience,48,1,$-bet,0.2,16,m,15,5,5
s76,experience,49,6,p-bet,0.8571429,4.7,l,42,4,4
s76,experience,50,1,$-bet,0.2,16,xs,5,5.7,5
s76,experience,52,6,p-bet,0.8571429,4.7,xs,7,4.5,5
s76,experience,53,4,p-bet,0.8,4,m,15,3.1,3
s76,experience,54,1,$-bet,0.2,16,s,10,7.2,3
s76,experience,55,2,$-bet,0.16666667,12,m,18,5,5
s76,experience,56,2,$-bet,0.16666667,12,xs,6,5,5
s76,experience,57,1,$-bet,0.2,16,s,10,4,4
s76,experience,59,2,$-bet,0.16666667,12,s,12,5,5
s76,experience,60,6,p-bet,0.8571429,4.7,xs,7,2.3,3
s76,experience,61,4,p-bet,0.8,4,xs,5,3.6,5
s76,experience,64,5,p-bet,0.8333333,2.4,xs,6,1.2,4
s76,experience,65,3,$-bet,0.1428571,28,m,21,7,4
s76,experience,66,5,p-bet,0.8333333,2.4,xs,6,2,5
s76,experience,67,1,$-bet,0.2,16,l,30,7.4,5
s76,experience,68,3,$-bet,0.1428571,28,m,21,14,5
s76,experience,69,4,p-bet,0.8,4,xs,5,2,5
s76,experience,70,6,p-bet,0.8571429,4.7,m,21,4,4
